Timestamp,ACC_91C,ACC_912
2025-08-20T21:42:12.716Z,"{""x"": -2305, ""y"": 3071, ""z"": 19967}","{""x"": 7168, ""y"": 1023, ""z"": -23040}"
2025-08-20T21:42:13.112Z,"{""x"": -1025, ""y"": 3583, ""z"": -15361}","{""x"": 8448, ""y"": 4863, ""z"": -26369}"
2025-08-20T21:42:13.362Z,"{""x"": -2305, ""y"": 255, ""z"": -9473}","{""x"": 0, ""y"": -2818, ""z"": -8705}"
2025-08-20T21:42:13.467Z,"{""x"": 2560, ""y"": -1026, ""z"": -19712}","{""x"": 8448, ""y"": 4863, ""z"": -29185}"
2025-08-20T21:42:13.669Z,"{""x"": -7425, ""y"": 7679, ""z"": 16639}","{""x"": 5120, ""y"": 4351, ""z"": -21760}"
2025-08-20T21:42:14.719Z,"{""x"": -5633, ""y"": 6399, ""z"": -17409}","{""x"": 11008, ""y"": 8959, ""z"": -19712}"
2025-08-20T21:42:14.865Z,"{""x"": 1792, ""y"": -2306, ""z"": 7169}","{""x"": 8960, ""y"": 6911, ""z"": -18690}"
2025-08-20T21:42:14.970Z,"{""x"": -7425, ""y"": 4863, ""z"": -8705}","{""x"": 5120, ""y"": 9471, ""z"": -32256}"
2025-08-20T21:42:15.018Z,"{""x"": -2817, ""y"": 11519, ""z"": 8191}","{""x"": 11776, ""y"": 10239, ""z"": -2816}"
2025-08-20T21:42:15.163Z,"{""x"": -2305, ""y"": 12287, ""z"": 10751}","{""x"": 7168, ""y"": 5631, ""z"": -23808}"
2025-08-20T21:42:15.220Z,"{""x"": -2305, ""y"": 9471, ""z"": -9985}","{""x"": 3072, ""y"": 12799, ""z"": 3583}"
2025-08-20T21:42:15.365Z,"{""x"": -16129, ""y"": 1023, ""z"": 14848}","{""x"": 16384, ""y"": -258, ""z"": -6914}"
2025-08-20T21:42:16.367Z,"{""x"": 8960, ""y"": 6911, ""z"": -27137}","{""x"": 7680, ""y"": 9471, ""z"": 7680}"
2025-08-20T21:42:16.762Z,"{""x"": -4865, ""y"": 1791, ""z"": -4865}","{""x"": 14336, ""y"": 4351, ""z"": -6145}"
2025-08-20T21:42:16.819Z,"{""x"": 512, ""y"": 12287, ""z"": -2306}","{""x"": 20735, ""y"": -27906, ""z"": 5120}"
2025-08-20T21:42:16.964Z,"{""x"": -26369, ""y"": 1791, ""z"": -8193}","{""x"": -5633, ""y"": -10754, ""z"": 17664}"
2025-08-20T21:42:17.263Z,"{""x"": 10239, ""y"": -13824, ""z"": -25857}","{""x"": -19200, ""y"": -15872, ""z"": -2817}"
2025-08-20T21:42:17.667Z,"{""x"": 18687, ""y"": 4352, ""z"": 27903}","{""x"": 29441, ""y"": 13056, ""z"": -32768}"
2025-08-20T21:42:20.365Z,"{""x"": -11264, ""y"": -19200, ""z"": -8193}","{""x"": 18687, ""y"": -19200, ""z"": -19200}"
2025-08-20T21:42:21.019Z,"{""x"": 5121, ""y"": 6400, ""z"": -15361}","{""x"": 10751, ""y"": 2560, ""z"": 24064}"
2025-08-20T21:42:21.366Z,"{""x"": -2048, ""y"": -3585, ""z"": -7425}","{""x"": 4351, ""y"": -3585, ""z"": -9473}"
2025-08-20T21:42:23.563Z,"{""x"": 24064, ""y"": 7679, ""z"": -4865}","{""x"": 22783, ""y"": 20735, ""z"": -31745}"
2025-08-20T21:42:23.619Z,"{""x"": 20736, ""y"": 19967, ""z"": 29952}","{""x"": -14081, ""y"": 8959, ""z"": 1280}"
2025-08-20T21:42:23.765Z,"{""x"": 0, ""y"": -23298, ""z"": -17409}","{""x"": -15361, ""y"": 25855, ""z"": -26369}"
2025-08-20T21:42:24.168Z,"{""x"": 0, ""y"": -10754, ""z"": 512}","{""x"": -4097, ""y"": -19202, ""z"": -15361}"
2025-08-20T21:42:24.362Z,"{""x"": 4352, ""y"": -8706, ""z"": 1280}","{""x"": -9985, ""y"": -258, ""z"": -1025}"
2025-08-20T21:42:24.669Z,"{""x"": 13568, ""y"": -5634, ""z"": 31231}","{""x"": -26369, ""y"": -12034, ""z"": -15361}"
2025-08-20T21:42:26.412Z,"{""x"": 4352, ""y"": -9986, ""z"": -19201}","{""x"": -19969, ""y"": -2818, ""z"": -14593}"
2025-08-20T21:42:27.112Z,"{""x"": 24832, ""y"": 6399, ""z"": -1537}","{""x"": 4352, ""y"": 22783, ""z"": -6145}"
2025-08-20T21:42:27.262Z,"{""x"": -32256, ""y"": 4863, ""z"": 12288}","{""x"": -22529, ""y"": 4351, ""z"": 5888}"
2025-08-20T21:42:27.364Z,"{""x"": 32000, ""y"": -8706, ""z"": -5633}","{""x"": -26369, ""y"": 14079, ""z"": -2305}"
2025-08-20T21:42:28.016Z,"{""x"": 3840, ""y"": -17410, ""z"": -17409}","{""x"": -4098, ""y"": 12287, ""z"": 0}"
2025-08-20T21:42:28.669Z,"{""x"": -16384, ""y"": 28671, ""z"": -15361}","{""x"": 18687, ""y"": 12799, ""z"": 5120}"
2025-08-20T21:42:28.968Z,"{""x"": 27392, ""y"": 25343, ""z"": -11521}","{""x"": 5631, ""y"": 9471, ""z"": 14336}"
2025-08-20T21:42:29.015Z,"{""x"": -6145, ""y"": -22018, ""z"": -15361}","{""x"": 32511, ""y"": 15359, ""z"": 7680}"
2025-08-20T21:42:29.267Z,"{""x"": -15104, ""y"": 20735, ""z"": -16641}","{""x"": 25855, ""y"": 4863, ""z"": 6400}"
2025-08-20T21:42:29.715Z,"{""x"": 15616, ""y"": 14847, ""z"": -9985}","{""x"": -17921, ""y"": 4351, ""z"": 0}"
2025-08-20T21:42:32.063Z,"{""x"": -20480, ""y"": 24575, ""z"": 24064}","{""x"": -23809, ""y"": 4351, ""z"": -15361}"
2025-08-20T21:42:37.662Z,"{""x"": -17921, ""y"": 255, ""z"": 11008}","{""x"": 18176, ""y"": 11519, ""z"": 1280}"
2025-08-20T21:42:37.764Z,"{""x"": -11521, ""y"": 9471, ""z"": 7680}","{""x"": 24832, ""y"": -258, ""z"": 3072}"
2025-08-20T21:42:38.016Z,"{""x"": -17921, ""y"": 10751, ""z"": -4097}","{""x"": 22784, ""y"": 10239, ""z"": -7425}"
2025-08-20T21:42:38.016Z,"{""x"": -17921, ""y"": 10751, ""z"": -4097}","{""x"": 23552, ""y"": 1023, ""z"": 29952}"
2025-08-20T21:42:38.016Z,"{""x"": -20481, ""y"": 1023, ""z"": -16129}","{""x"": 22784, ""y"": 10239, ""z"": -7425}"
2025-08-20T21:42:38.016Z,"{""x"": -20481, ""y"": 1023, ""z"": -16129}","{""x"": 23552, ""y"": 1023, ""z"": 29952}"
